theta_x_deg,theta_y_deg,theta_deg,I_clean
-43.025065989118026,-61.82140989004083,64.3982431428705,0.39004817467696806
-38.659808254090095,-61.82140989004083,63.78440550153861,0.4089501247926982
-14.931417178137552,-61.82140989004083,62.06164727039765,0.4572691926031223
-7.594643368591445,-61.82140989004083,61.88205317814457,0.46272180936423263
0.0,-61.82140989004083,61.82140989004083,0.4648132491829725
7.594643368591445,-61.82140989004083,61.88205317814457,0.46272180936423263
21.80140948635181,-61.82140989004083,62.35343125851404,0.4494521722611448
28.072486935852957,-61.82140989004083,62.74690849122661,0.4388777179596834
33.690067525979785,-61.82140989004083,63.22884562978168,0.425874953324458
43.025065989118026,-61.82140989004083,64.3982431428705,0.39004817467696806
53.13010235415598,-61.82140989004083,66.44623369171494,0.3192538311392679
-43.025065989118026,-60.01836063115067,63.07106565542146,0.4301380230971666
-33.690067525979785,-60.01836063115067,61.698929737653955,0.46903367475977975
-28.072486935852957,-60.01836063115067,61.12717611454784,0.48867063692468277
-21.80140948635181,-60.01836063115067,60.65753596474337,0.504688836689309
-14.931417178137552,-60.01836063115067,60.30758709991969,0.5108213006534309
-7.594643368591445,-60.01836063115067,60.0914649349183,0.5145979657702573
0.0,-60.01836063115067,60.01836063115067,0.5158735898810117
7.594643368591445,-60.01836063115067,60.0914649349183,0.5145979657702573
14.931417178137552,-60.01836063115067,60.30758709991969,0.5108213006534308
21.80140948635181,-60.01836063115067,60.65753596474337,0.504688836689309
28.072486935852957,-60.01836063115067,61.12717611454784,0.4886706369246829
33.690067525979785,-60.01836063115067,61.698929737653955,0.4690336747597797
38.659808254090095,-60.01836063115067,62.35343125851404,0.4494521722611448
43.025065989118026,-60.01836063115067,63.07106565542146,0.4301380230971666
46.8476102659946,-60.01836063115067,63.83320567697634,0.4074510276645647
50.19442890773481,-60.01836063115067,64.6230664748477,0.38239702380958546
53.13010235415598,-60.01836063115067,65.4261840548125,0.351215366911602
-50.19442890773481,-57.9946167919165,63.43494882292201,0.41966668479385244
-46.8476102659946,-57.9946167919165,62.52415070201769,0.44486882830735563
-43.025065989118026,-57.9946167919165,61.637084076636626,0.47116291124314896
-38.659808254090095,-57.9946167919165,60.7940677526006,0.5000617392629789
-33.690067525979785,-57.9946167919165,60.01836063115067,0.5158735898810117
-28.072486935852957,-57.9946167919165,59.335151081155516,0.5277860406146753
-21.80140948635181,-57.9946167919165,58.76993022442898,0.5577472767691735
-14.931417178137552,-57.9946167919165,58.34632546962621,0.5800847470066555
-7.594643368591445,-57.9946167919165,58.083652987429666,0.5938850107732367
0.0,-57.9946167919165,57.99461679191651,0.5985538715378053
7.594643368591445,-57.9946167919165,58.083652987429666,0.5938850107732367
14.931417178137552,-57.9946167919165,58.34632546962621,0.5800847470066556
21.80140948635181,-57.9946167919165,58.76993022442898,0.5577472767691735
28.072486935852957,-57.9946167919165,59.335151081155516,0.5277860406146753
33.690067525979785,-57.9946167919165,60.01836063115067,0.5158735898810116
38.659808254090095,-57.9946167919165,60.7940677526006,0.5000617392629789
43.025065989118026,-57.9946167919165,61.637084076636626,0.47116291124314885
50.19442890773481,-57.9946167919165,63.43494882292201,0.41966668479385244
53.13010235415598,-57.9946167919165,64.3525543477082,0.3914584510948303
-55.71312302279104,-55.71312302279104,64.26043515332165,0.394300252572697
-53.13010235415598,-55.71312302279104,63.22884562978168,0.4258749533244579
-50.19442890773481,-55.71312302279104,62.17947171866276,0.45411515070749714
-46.8476102659946,-55.71312302279104,61.12717611454782,0.4886706369246831
-43.025065989118026,-55.71312302279104,60.0914649349183,0.5145979657702572
-38.659808254090095,-55.71312302279104,59.09673032602228,0.5404458541404091
-33.690067525979785,-55.71312302279104,58.171942883738076,0.5892508198556584
-28.072486935852957,-55.71312302279104,57.34954116147778,0.6210152983994481
-21.80140948635181,-55.71312302279104,56.66334051820683,0.6447300750452203
-14.931417178137552,-55.71312302279104,56.145485187379485,0.6722834797026418
-7.594643368591445,-55.71312302279104,55.82278575311073,0.6897478954644095
0.0,-55.71312302279104,55.71312302279104,0.6956676675514335
7.594643368591445,-55.71312302279104,55.82278575311073,0.6897478954644095
14.931417178137552,-55.71312302279104,56.145485187379485,0.6722834797026417
21.80140948635181,-55.71312302279104,56.66334051820683,0.6447300750452202
