delta_x,delta_y,rate_pred_s
-1,-5,0.09130631759496312
0,-5,0.10122987089232886
1,-5,0.09147315435114742
2,-5,0.07730659966045014
3,-5,0.06084873365165921
4,-5,0.045773058596497766
5,-5,0.032836093415696474
6,-5,0.024261425710132182
7,-5,0.015727032294191635
8,-5,0.011177041208598413
9,-5,0.0062578603135366225
10,-5,0.004253943129192371
11,-5,0.0028595029862049023
12,-5,0.0013702210488197397
13,-5,0.000676243330959412
14,-5,0.00025202385302389624
-14,-4,0.00038455720628271454
-13,-4,0.0007605411415683165
-12,-4,0.0015501729810432625
-11,-4,0.0035242221567853144
-10,-4,0.0055455204398046016
-9,-4,0.008181545892410599
-8,-4,0.013461543292881168
-7,-4,0.021176237840655886
-6,-4,0.03340079309864172
-5,-4,0.047860347695666966
-4,-4,0.06526746264455449
-3,-4,0.0895865584392915
-2,-4,0.11395924264636524
-1,-4,0.13928049798644584
0,-4,0.15407236350357284
1,-4,0.13996373355514818
2,-4,0.11683533457659044
3,-4,0.09283474580179764
4,-4,0.06781645444289529
5,-4,0.04851758180539927
6,-4,0.03201719586647174
7,-4,0.021138377530880933
8,-4,0.014279098640123408
9,-4,0.00872498703629281
10,-4,0.005015544702805982
11,-4,0.002753259199452468
12,-4,0.0015785503896936426
13,-4,0.0008563759874910051
14,-4,0.0003073757813848667
-14,-3,0.0003344689930148259
-13,-3,0.0009118221764091688
-12,-3,0.002218256038353234
-11,-3,0.003737081908827288
-10,-3,0.006828156089769649
-9,-3,0.010923522030057198
-8,-3,0.01687384836334625
-7,-3,0.02766494341058727
-6,-3,0.04261856215302016
-5,-3,0.06226460533420993
-4,-3,0.08837146647811625
-3,-3,0.12378501144031978
-2,-3,0.16285664987490522
-1,-3,0.19905340935825272
0,-3,0.22518748011597356
1,-3,0.20152376465361657
2,-3,0.1663766670694418
3,-3,0.1274064392700562
4,-3,0.09035919842048439
5,-3,0.0639525565942995
6,-3,0.041179982414150725
7,-3,0.02645308212535562
8,-3,0.017071955189024057
9,-3,0.010916519078013002
10,-3,0.006176476578232155
11,-3,0.004049682469664637
12,-3,0.001944747662059085
13,-3,0.0009581226656280803
14,-3,0.00030665283592251917
-14,-2,0.00047893182637397255
