metric,value
k_fit,1.583841925226038
A_LR,0.08327725423537986
A_UD,0.03348105011989466
mean_g_tx<0,1.2051130525707887
sem_g_tx<0,0.03043786446480918
mean_g_tx>0,1.3098319080057486
sem_g_tx>0,0.04474496509969472
mean_g_ty<0,1.2357221055168388
sem_g_ty<0,0.033616013783458555
mean_g_ty>0,1.2777997816578122
sem_g_ty>0,0.04265292080873067
