delta_x,delta_y,T_geom_m2sr
4,-8,0.0003834904975664002
5,-8,0.0003049811704286537
6,-8,0.00023831417947288506
7,-8,0.00018056323185000836
8,-8,0.00013072546393468032
9,-8,9.16544125385927e-05
10,-8,6.502169060052647e-05
11,-8,4.329393205677981e-05
12,-8,2.5435686676786724e-05
13,-8,1.4215845895637815e-05
14,-8,6.0300830113956e-06
-14,-7,8.782336066767237e-06
-13,-7,1.8259989897348454e-05
-12,-7,3.242067966214364e-05
-11,-7,5.39959432111027e-05
-10,-7,8.699284129693619e-05
-9,-7,0.00012026004873393098
-8,-7,0.00018391341743219679
-7,-7,0.00024078282674021225
-6,-7,0.0003200159923019537
-5,-7,0.00042513304139799583
-4,-7,0.0005392369160081567
-3,-7,0.0006611869474699683
-2,-7,0.0007897883487372074
-1,-7,0.0008738223151909806
0,-7,0.0009812713247583757
1,-7,0.0009199186528425203
2,-7,0.0008037170224435291
3,-7,0.0006682984654350298
4,-7,0.0005457133112949143
5,-7,0.00042867431767241966
6,-7,0.00033115705209581746
7,-7,0.00022275505790731378
8,-7,0.00017804416246580001
9,-7,0.00012595767185704816
10,-7,8.986527817519949e-05
11,-7,5.682237778283157e-05
12,-7,3.763657673093526e-05
13,-7,1.9260315730126724e-05
14,-7,9.423125046304262e-06
-14,-6,1.0522499073538694e-05
-13,-6,2.3744065074014518e-05
-12,-6,4.590297722282349e-05
-11,-6,7.02653539080792e-05
-10,-6,0.00010537458796761176
-9,-6,0.00015720224805180455
-8,-6,0.0002246056148842944
-7,-6,0.00033081576933892133
-6,-6,0.00044309106653715714
-5,-6,0.0005932082915264403
-4,-6,0.0007446469742924106
-3,-6,0.0009430212058044146
-2,-6,0.0011290483397226137
-1,-6,0.0012923723202392207
0,-6,0.0014207623141287084
1,-6,0.0012743086007780554
2,-6,0.0011453342715065686
3,-6,0.0009545051808893676
4,-6,0.0007497150784907715
5,-6,0.0006032342125731156
6,-6,0.0004440193527061499
7,-6,0.0003243650497253259
8,-6,0.00023081824173844598
9,-6,0.00016525210903019306
10,-6,0.00011398343074223101
11,-6,6.990138605899787e-05
12,-6,4.429192111467114e-05
13,-6,2.203918456468042e-05
14,-6,9.785057551166993e-06
-14,-5,9.980563548460468e-06
-13,-5,2.9631858539058173e-05
-12,-5,5.34213247292903e-05
-11,-5,8.985669032101044e-05
-10,-5,0.000143955367978836
-9,-5,0.0002010398643317778
-8,-5,0.0002969755147705736
-7,-5,0.00042027512222620443
-6,-5,0.000604762913447504
-5,-5,0.0008171718934747386
-4,-5,0.0010497356108285659
-3,-5,0.001328316317683286
-2,-5,0.0016187902086600302
-1,-5,0.001844572182033576
0,-5,0.002027727634243127
1,-5,0.00187477220025386
2,-5,0.001608067252430203
3,-5,0.0013198327230389201
4,-5,0.0010490309053560129
5,-5,0.0007693684729467109
6,-5,0.0006096429943296869
7,-5,0.0004203285628928764
8,-5,0.000309312912280225
9,-5,0.00020484144826074825
10,-5,0.0001370205809406554
11,-5,9.664033239655903e-05
12,-5,5.5001470555189415e-05
13,-5,2.7370039231534475e-05
14,-5,1.0332402412604899e-05
-14,-4,1.2948021046416163e-05
-13,-4,3.1745414705715936e-05
-12,-4,6.043438336475358e-05
-11,-4,9.554203751295062e-05
-10,-4,0.00016763442561118868
-9,-4,0.00025330299473662094
-8,-4,0.00037796127840536843
-7,-4,0.0005398657416232077
-6,-4,0.0007435516225024741
-5,-4,0.0010278776562353679
-4,-4,0.001415424260717105
-3,-4,0.0017712769756002065
-2,-4,0.0021992393736001477
-1,-4,0.0025599723739611548
0,-4,0.0028189487236459157
1,-4,0.002582239878440493
2,-4,0.0022405650111914067
3,-4,0.0017761419745279945
4,-4,0.001407399143273161
5,-4,0.0010676213065094337
6,-4,0.0007762414720749894
7,-4,0.0005346262824463523
8,-4,0.0003827088456908097
9,-4,0.0002509449000329001
10,-4,0.0001640229473443239
11,-4,0.0001111426085208549
12,-4,6.235403121730422e-05
13,-4,3.152495091731777e-05
14,-4,1.5146113085334332e-05
-14,-3,1.619897648881434e-05
-13,-3,4.284899930671616e-05
-12,-3,7.69478138580084e-05
-11,-3,0.0001275982884450415
-10,-3,0.00019370583999952387
-9,-3,0.0003023678373008875
-8,-3,0.00046304146435453977
-7,-3,0.0006440462373176455
-6,-3,0.0009750773504182784
-5,-3,0.001342267492414209
-4,-3,0.001822232828594631
-3,-3,0.002350953695312247
-2,-3,0.002913780272909978
-1,-3,0.0034408685770070686
0,-3,0.003793203664368008
1,-3,0.003499751848795375
2,-3,0.00293727332333413
3,-3,0.002351941821369272
4,-3,0.001820313212839476
5,-3,0.0013368063206432971
6,-3,0.0009268738556963049
7,-3,0.0006747396319778514
8,-3,0.00045391864009872466
9,-3,0.0002936187312039157
10,-3,0.00020242616774682263
11,-3,0.00011926777189604315
12,-3,6.879531864035756e-05
13,-3,4.159404679838386e-05
14,-3,1.2731631708086994e-05
-14,-2,1.5764482318243226e-05
-13,-2,4.425065806313076e-05
-12,-2,7.955179901673225e-05
-11,-2,0.00015376042698317217
-10,-2,0.00022327048521871294
-9,-2,0.0003610660963113945
-8,-2,0.0005490280968615828
-7,-2,0.0007855313784432117
-6,-2,0.0011323702727444288
-5,-2,0.0016147061758483344
-4,-2,0.002209530364194131
-3,-2,0.002888317609112408
-2,-2,0.0037200926197875303
-1,-2,0.004328680167544388
0,-2,0.004866675160003016
