delta_x,delta_y,theta_mean_deg
-12,7,61.598519042209965
-11,7,59.98390228199845
-10,7,58.2876683195129
-9,7,56.592103727163696
-8,7,54.66331040364561
-7,7,52.759125221093925
-6,7,50.70009828444005
-5,7,48.789961940190445
-4,7,46.95134002363455
-3,7,45.29168014040818
-2,7,43.93516614361523
-1,7,43.16251100100777
0,7,42.8504096364275
1,7,43.12606700593972
2,7,43.96538429776938
3,7,45.2962727936542
4,7,46.90689422170597
5,7,48.75198856685701
6,7,50.70875759466652
7,7,52.72798336058371
8,7,54.661227739421086
9,7,56.56127111323848
10,7,58.36849085374618
11,7,60.01769881894201
12,7,61.54567406487819
13,7,63.13439626098659
14,7,64.3949231734629
-14,8,65.08059993440851
-13,8,63.642006700312926
-12,8,62.53383944138373
-11,8,61.04358753071591
-10,8,59.57330020923209
-9,8,57.995918920836054
-8,8,56.333557355978776
-7,8,54.712115017468925
-6,8,52.97350858038659
-5,8,51.372333087022014
-4,8,49.854101674701674
-3,8,48.56225547143401
-2,8,47.57597218211747
-1,8,46.92764948628233
0,8,46.70505791957952
1,8,46.91647990535493
2,8,47.53056783089473
3,8,48.59569026109675
4,8,49.880586379552405
5,8,51.34694453545251
6,8,53.00812053660971
7,8,54.66702851514367
8,8,56.33980939393662
9,8,58.00682579312455
10,8,59.56057679370919
11,8,61.082585431829074
12,8,62.459893841756895
13,8,63.78328616500256
14,8,64.95662076535527
-14,9,65.70460805161001
-13,9,64.5149381525967
-12,9,63.29948378554266
-11,9,62.081199529636116
-10,9,60.857973446083136
-9,9,59.39889679650346
-8,9,58.00939510874822
-7,9,56.61210483584389
-6,9,55.16734062079791
-5,9,53.76875059484517
-4,9,52.54489855874421
-3,9,51.575406276740736
-2,9,50.67766866590539
-1,9,50.23196331283164
0,9,50.03634916999959
1,9,50.210830877502865
2,9,50.73013270149792
3,9,51.50271002721223
4,9,52.5456440336007
5,9,53.83742364168326
6,9,55.204662344665984
7,9,56.639667116138156
8,9,57.98552647316662
9,9,59.33167568133634
10,9,60.823315383244505
11,9,62.211208960525944
12,9,63.372900461656855
13,9,64.67381655430411
14,9,65.68340756018902
-14,10,66.27472160065729
-13,10,65.36799560778333
-12,10,64.24424040415121
-11,10,63.15849129175627
-10,10,61.96602079237643
-9,10,60.81482721603723
-8,10,59.562045749822595
-7,10,58.334450352769565
-6,10,57.149367785675096
-5,10,56.06221522124846
-4,10,54.96049474740101
-3,10,54.26419870822517
-2,10,53.559118142135986
-1,10,53.13676553093451
