theta_deg,phi_deg,AOmega_MC_cm2sr,AOmega_analytic_cm2sr,ratio_MC_over_analytic
1.0,-177.5,0.18954478733726685,0.1896171979166065,0.9996181223004281
1.0,-172.5,0.18943475654277003,0.1894860056923915,0.9997295359652857
1.0,-167.5,0.1893486454862083,0.18936901678368062,0.999892425393455
1.0,-162.5,0.18927688627240508,0.1892670943605131,1.0000517359445131
1.0,-157.5,0.1892481825868842,0.18918098905914352,1.000355181184298
1.0,-152.5,0.1891955591634292,0.18911133403051844,1.0004453732683054
1.0,-147.5,0.1891285838972138,0.1890586407950134,1.000369954538477
1.0,-142.5,0.1890616086309993,0.18902329591449726,1.0002026878026684
1.0,-137.5,0.18899941731236972,0.18900555848988476,0.9999675079528659
1.0,-132.5,0.18898028152202245,0.18900555848988476,0.9998662633624944
1.0,-127.50000000000001,0.18900420125995654,0.1890232959144963,0.9998989825330927
1.0,-122.50000000000001,0.18907596047375974,0.18905864079501433,1.0000916100881323
1.0,-117.5,0.1891285838972138,0.18911133403051844,1.0000912154037926
1.0,-112.5,0.18920034311101602,0.18918098905914352,1.0001023044227053
1.0,-107.5,0.1893008060103392,0.1892670943605131,1.0001781168033461
1.0,-102.50000000000001,0.1894251886475969,0.18936901678368015,1.0002966264749682
1.0,-97.5,0.18958784286554817,0.1894860056923915,1.0005374390197554
1.0,-92.5,0.18973136129315318,0.189617197916607,1.0006020729016172
1.0,-87.5,0.18975049708349995,0.1896171979166065,1.0007029909119955
1.0,-82.50000000000001,0.1895734910227882,0.18948600569239196,1.000461698108399
1.0,-77.5,0.18945867628070412,0.18936901678367968,1.0004734644481301
1.0,-72.5,0.18935342943379463,0.1892670943605136,1.0004561546927782
1.0,-67.5,0.18926731837723146,0.18918098905914352,1.000456331888935
1.0,-62.50000000000001,0.1892481825868847,0.18911133403051894,1.0007236401618513
1.0,-57.5,0.18920991100618967,0.1890586407950134,1.000800123234464
1.0,-52.50000000000001,0.18913815179238763,0.18902329591449654,1.0006076281621026
1.0,-47.5,0.18913815179238763,0.189005558489885,1.00070153123306
1.0,-42.5,0.1890998802116931,0.189005558489885,1.000499042052317
1.0,-37.49999999999999,0.18913336784480086,0.18902329591449654,1.0005823193896382
1.0,-32.5,0.18914293573997448,0.1890586407950136,1.0004458666612983
1.0,-27.5,0.18920512705860298,0.18911133403051858,1.0004959672489502
1.0,-22.5,0.18924339863929762,0.18918098905914374,1.0003298935081388
1.0,-17.5,0.18931994180068668,0.18926709436051334,1.0002792214904122
1.0,-12.499999999999998,0.18937256522414164,0.18936901678367987,1.0000187382314278
1.0,-7.499999999999999,0.18945867628070434,0.1894860056923917,0.9998557708175466
1.0,-2.5,0.18957349102278795,0.18961719791660672,0.9997694993159956
1.0,2.5,0.18957349102278795,0.18961719791660672,0.9997694993159956
1.0,7.499999999999999,0.18942040470000981,0.1894860056923917,0.9996537950539293
1.0,12.499999999999998,0.18930080601033938,0.18936901678367987,0.9996397997175092
1.0,17.5,0.1892051270586031,0.18926709436051334,0.9996725933680146
1.0,22.5,0.18905204073582496,0.18918098905914374,0.9993183864617683
1.0,27.5,0.1889898494171962,0.18911133403051858,0.9993576026844443
1.0,32.5,0.18893722599374135,0.1890586407950136,0.9993577929008604
1.0,37.49999999999999,0.18889417046546,0.18902329591449654,0.9993168807664059
1.0,42.5,0.18894200994132815,0.189005558489885,0.999663774181751
1.0,47.5,0.1889850654696095,0.189005558489885,0.9998915745100871
1.0,52.50000000000001,0.1889802815220227,0.18902329591449654,0.9997724386707695
1.0,57.5,0.18906639257858515,0.1890586407950134,1.0000410020062513
1.0,62.50000000000001,0.18912858389721426,0.18911133403051894,1.0000912154037924
1.0,67.5,0.18917642337308194,0.18918098905914352,0.9999758660419089
1.0,72.5,0.1892625344296451,0.1892670943605136,0.9999759074292133
1.0,77.5,0.18933907759103372,0.18936901678367968,0.9998419002582658
1.0,82.50000000000001,0.1894538923331178,0.18948600569239196,0.9998305238470946
1.0,87.5,0.18963568234141634,0.1896171979166065,1.0000974828497253
1.0,92.5,0.18961654655106958,0.189617197916607,0.999996564839347
1.0,97.5,0.18946346022829094,0.1894860056923915,0.9998810177879989
1.0,102.50000000000001,0.18930558995792648,0.18936901678368015,0.9996650622851038
1.0,107.5,0.18920034311101602,0.1892670943605131,0.999647317196248
1.0,112.5,0.18909509626410606,0.18918098905914352,0.9995459755472015
1.0,117.5,0.18899941731236972,0.18911133403051844,0.9994081966650891
1.0,122.50000000000001,0.18893244204615525,0.18905864079501433,0.9993324888599199
