theta_deg,phi_deg,AOmega_MC_withcos_cm2sr,AOmega_analytic_withcos_cm2sr,ratio_MC_over_analytic_withcos,AOmega_MC_nocos_cm2sr,AOmega_analytic_nocos_cm2sr,ratio_MC_over_analytic_nocos,ratio_withcos_over_nocos_MC
1.0,-177.5,0.18963887163980755,0.1896171979166065,1.0001143025181218,0.1896677589581733,0.1896460819334564,1.0001143025181218,0.9998476951563912
1.0,-172.5,0.18949535321220307,0.1894860056923915,1.0000493309243468,0.18952421866868746,0.1895148697249865,1.0000493309243466,0.9998476951563913
1.0,-167.5,0.18937734917172921,0.18936901678368062,1.0000440007990226,0.18940619665288894,0.189397862995584,1.0000440007990223,0.9998476951563914
1.0,-162.5,0.18925296653447102,0.1892670943605131,0.9999253550856804,0.18928179506866694,0.18929592504677312,0.9999253550856804,0.9998476951563913
1.0,-157.5,0.18917961267147318,0.18918098905914352,0.999992724492682,0.18920843003181861,0.18920980662915138,0.9999927244926821,0.9998476951563914
1.0,-152.5,0.1891158267036489,0.18911133403051844,1.0000237567629329,0.18914463434760267,0.1891401409901121,1.0000237567629329,0.9998476951563912
1.0,-147.5,0.18907117652617197,0.1890586407950134,1.000066306047192,0.18909997736865153,0.1890874397279495,1.0000663060471922,0.9998476951563913
1.0,-142.5,0.18902014775191356,0.18902329591449726,0.9999833451079748,0.18904894082127974,0.1890520894634169,0.9999833451079748,0.9998476951563913
1.0,-137.5,0.18895955108247958,0.18900555848988476,0.9997565817229251,0.18898833492127362,0.1890343493368972,0.999756581722925,0.9998476951563914
1.0,-132.5,0.18898187617121806,0.18900555848988476,0.999874700411692,0.1890106634107492,0.1890343493368972,0.999874700411692,0.9998476951563913
1.0,-127.50000000000001,0.1890233370503038,0.1890232959144963,1.0000002176229512,0.1890521306054896,0.18905208946341592,1.0000002176229514,0.9998476951563912
1.0,-122.50000000000001,0.18909988021169383,0.18905864079501433,1.0002181302928344,0.18912868542654965,0.18908743972795047,1.0002181302928344,0.9998476951563913
1.0,-117.5,0.18917961267147318,0.18911133403051844,1.000361049967231,0.18920843003181861,0.1891401409901121,1.0003610499672309,0.9998476951563914
1.0,-112.5,0.18924339863929737,0.18918098905914352,1.0003298935081386,0.18927222571603453,0.18920980662915138,1.0003298935081388,0.9998476951563913
1.0,-107.5,0.18932950969586007,0.1892670943605131,1.0003297738339454,0.18935834988972602,0.18929592504677312,1.0003297738339454,0.9998476951563913
1.0,-102.50000000000001,0.18942199934920567,0.18936901678368015,1.0002797847632385,0.18945085363183964,0.18939786299558353,1.0002797847632385,0.9998476951563912
1.0,-97.5,0.18957508567198333,0.1894860056923915,1.0004701137652163,0.18960396327395737,0.1895148697249865,1.0004701137652163,0.9998476951563913
1.0,-92.5,0.1897122255028059,0.189617197916607,1.0005011548912388,0.1897411239950221,0.18964608193345686,1.0005011548912388,0.9998476951563913
1.0,-87.5,0.18972179339797907,0.1896171979166065,1.000551613896428,0.18975069334765401,0.1896460819334564,1.000551613896428,0.9998476951563914
1.0,-82.50000000000001,0.1895400033896805,0.18948600569239196,1.0002849693152338,0.18956887564763908,0.18951486972498696,1.0002849693152336,0.9998476951563914
1.0,-77.5,0.1894156207524228,0.18936901678367968,1.0002461013397792,0.18944447406341755,0.18939786299558303,1.0002461013397792,0.9998476951563914
1.0,-72.5,0.1893231310990781,0.1892670943605136,1.00029607227159,0.18935197032130494,0.18929592504677362,1.00029607227159,0.999847695156391
1.0,-67.5,0.18924339863929737,0.18918098905914352,1.0003298935081386,0.18927222571603453,0.18920980662915138,1.0003298935081388,0.9998476951563913
1.0,-62.50000000000001,0.18918280196986484,0.18911133403051894,1.0003779146274456,0.18921161981602988,0.18914014099011256,1.0003779146274459,0.9998476951563913
1.0,-57.5,0.18909669091330167,0.1890586407950134,1.0002012609322075,0.1891254956423379,0.1890874397279495,1.0002012609322077,0.9998476951563912
1.0,-52.50000000000001,0.18901695845352162,0.18902329591449654,0.9999664725929983,0.18904575103706822,0.18905208946341617,0.9999664725929983,0.9998476951563913
1.0,-47.5,0.1890105798567392,0.189005558489885,1.0000265672972493,0.1890393714686466,0.18903434933689744,1.0000265672972493,0.9998476951563914
1.0,-42.5,0.1889499831873062,0.189005558489885,0.9997059594277393,0.1889787655686415,0.18903434933689744,0.9997059594277393,0.9998476951563913
1.0,-37.49999999999999,0.18901376915513043,0.18902329591449654,0.999949600078022,0.18904256125285743,0.18905208946341617,0.9999496000780219,0.9998476951563914
1.0,-32.5,0.18902971564708645,0.1890586407950136,0.9998470043590416,0.1890585101739114,0.18908743972794975,0.9998470043590416,0.9998476951563913
